2016-10-09 14:44:19,450 NAT ADD sent
2016-10-09 14:44:19,471 NAT ACK received
2016-10-09 14:44:24,455 NAT ADD sent
2016-10-09 14:44:24,471 NAT ACK received
2016-10-09 14:44:24,490 NAT ADD sent
2016-10-09 14:44:24,522 NAT ACK received
2016-10-09 14:54:25,599 NAT ADD sent
2016-10-09 14:54:25,628 NAT ACK received
2016-10-09 14:54:25,674 NAT ADD sent
2016-10-09 14:54:25,699 NAT ACK received
2016-10-09 14:54:25,731 NAT ADD sent
2016-10-09 14:54:25,739 NAT ACK received
2016-10-09 14:54:31,674 NAT ADD sent
2016-10-09 14:54:31,716 NAT ACK received
2016-10-09 14:54:31,743 NAT ADD sent
2016-10-09 14:54:31,772 NAT ACK received
2016-10-09 14:54:31,800 NAT ADD sent
2016-10-09 14:54:31,833 NAT ACK received
2016-10-09 14:54:39,771 NAT ADD sent
2016-10-09 14:54:39,795 NAT ACK received
2016-10-09 14:54:39,813 NAT ADD sent
2016-10-09 14:54:39,852 NAT ACK received
2016-10-09 14:54:39,873 NAT ADD sent
2016-10-09 14:54:39,899 NAT ACK received
2016-10-09 14:54:56,294 NEW TRIAL
2016-10-09 14:55:00,419 NAT ADD sent
2016-10-09 14:55:00,436 NAT ACK received
2016-10-09 14:55:00,472 NAT ADD sent
2016-10-09 14:55:00,481 NAT ACK received
2016-10-09 14:55:06,495 NAT ADD sent
2016-10-09 14:55:06,517 NAT ACK received
2016-10-09 14:55:06,537 NAT ADD sent
2016-10-09 14:55:06,561 NAT ACK received
2016-10-09 14:58:27,623 NEW TRIAL
